stim,sent,race,served,glasses,trust,afro,zAfro,attract,maturity
5,0,-1,11,0,4.31,6.07,-0.65,2.45,3.75
11,0,-1,30,0,4.44,5.87,-1.06,2.65,4.95
12,1,-1,7,0,3.92,5.87,-1.06,3,4.1
15,0,-1,18.5,0,3.67,6.43,0.12,3.4,4.9
31,0,-1,30,0,4.74,6.5,0.25,2.8,5.65
35,0,-1,16,0,2.31,6.37,-0.02,2.45,5.8
37,0,-1,26,0,4.64,5.7,-1.41,3.75,5.75
41,0,-1,27,1,4.44,6.87,1.02,2.45,5.35
47,0,-1,16,0,4.62,6.5,0.25,3.15,3.2
56,0,-1,18.5,0,4.28,6.87,1.02,2.85,4.35
59,1,-1,10.5,0,3.36,7.13,1.57,2.95,5.8
67,1,-1,10,1,4.26,6.73,0.74,2.85,6.35
71,1,-1,5,0,3.13,7.27,1.85,3.15,4.9
98,1,-1,14,1,3.15,7.17,1.64,2.4,6.05
112,1,-1,17,0,3.97,5.63,-1.55,4.05,5.85
118,1,-1,17.5,0,3.08,5.83,-1.13,3.3,5.65
124,0,-1,27,1,4.49,6.2,-0.37,3.5,6.1
125,0,1,14,0,3.59,1.77,0.17,2.6,5.45
128,1,1,13.5,0,2.92,1.63,-0.01,2.2,4
129,1,1,8,1,3.54,1.77,0.17,2.5,4.5
137,1,1,10.5,0,3.51,2.5,1.2,3.5,5.65
146,0,1,17,0,3.64,1.33,-0.43,2.9,6.15
148,0,1,26,1,4.77,1.2,-0.62,4.8,6.15
151,0,1,6.5,0,4.18,1.53,-0.15,3.05,5.75
152,1,1,17.5,0,4.05,1.37,-0.39,2.4,6.1
154,0,1,11,0,5.05,1.33,-0.43,2.5,6.25
160,0,1,11,0,4.18,1.13,-0.71,3.25,5.4
161,1,1,10.5,1,3.54,2.27,0.87,2.7,5.1
168,1,1,10,0,4.54,1.4,-0.34,2.6,6
173,1,1,21,0,4.21,1.4,-0.34,2.55,5.45
179,0,1,11.5,0,4.49,1.67,0.03,3.2,4.15
184,0,1,17.5,1,3.26,4.67,4.23,2.55,5.45
186,0,1,9,1,3.95,1.17,-0.67,2.85,6.6
194,1,1,15,1,4.26,1.23,-0.57,2.9,4.85
197,0,1,18,0,4.64,1.57,-0.11,2.85,4.2
201,1,1,11,0,3.77,1.23,-0.57,2.4,5.55
205,1,1,21.5,1,3.56,1.4,-0.34,2.5,5.45
